Episode no = 440; won: False; Q(s,a) = 37.454449216977025; reward = -495.0; and epsilon = 0.9413333333333334, win percentage = 0.0, 2022-04-26 07:21:52
Episode no = 450; won: False; Q(s,a) = 31.38392312527267; reward = -444.0; and epsilon = 0.94, win percentage = 0.0, 2022-04-26 07:21:58
Episode no = 460; won: False; Q(s,a) = 31.396330523066847; reward = -443.0; and epsilon = 0.9386666666666666, win percentage = 0.0, 2022-04-26 07:22:00
Episode no = 470; won: False; Q(s,a) = 36.13943493486958; reward = -483.0; and epsilon = 0.9373333333333334, win percentage = 0.0, 2022-04-26 07:22:02
Episode no = 480; won: False; Q(s,a) = 39.54289344530763; reward = -490.0; and epsilon = 0.9359999999999999, win percentage = 0.0, 2022-04-26 07:22:05
Episode no = 490; won: False; Q(s,a) = 32.71801672079096; reward = -392.0; and epsilon = 0.9346666666666666, win percentage = 0.0, 2022-04-26 07:22:10
Episode no = 500; won: False; Q(s,a) = 31.779876996076286; reward = -458.0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2022-04-26 07:22:13
Episode no = 510; won: False; Q(s,a) = 40.092850479966856; reward = -400.0; and epsilon = 0.9319999999999999, win percentage = 0.0, 2022-04-26 07:22:19
Episode no = 520; won: False; Q(s,a) = 36.62556302611256; reward = -470.0; and epsilon = 0.9306666666666666, win percentage = 0.0, 2022-04-26 07:22:21
Episode no = 530; won: False; Q(s,a) = 45.95130547317492; reward = -419.0; and epsilon = 0.9293333333333333, win percentage = 0.0, 2022-04-26 07:22:25
Episode no = 540; won: False; Q(s,a) = 29.06187013338436; reward = -446.0; and epsilon = 0.928, win percentage = 0.0, 2022-04-26 07:22:30
Episode no = 550; won: False; Q(s,a) = 47.316270314431286; reward = -434.0; and epsilon = 0.9266666666666666, win percentage = 0.0, 2022-04-26 07:22:33
Episode no = 560; won: False; Q(s,a) = 47.45184536894705; reward = -396.0; and epsilon = 0.9253333333333333, win percentage = 0.0, 2022-04-26 07:22:37
Episode no = 570; won: False; Q(s,a) = 31.900019725114404; reward = -491.0; and epsilon = 0.924, win percentage = 0.0, 2022-04-26 07:22:41
Episode no = 580; won: False; Q(s,a) = 35.81284575075763; reward = -446.0; and epsilon = 0.9226666666666666, win percentage = 0.0, 2022-04-26 07:22:43
Episode no = 590; won: False; Q(s,a) = 44.15892808242762; reward = -496.0; and epsilon = 0.9213333333333333, win percentage = 0.0, 2022-04-26 07:22:46
Episode no = 600; won: False; Q(s,a) = 31.127551972999154; reward = -457.0; and epsilon = 0.92, win percentage = 0.0, 2022-04-26 07:22:50
Episode no = 610; won: False; Q(s,a) = 50.000773299338704; reward = -458.0; and epsilon = 0.9186666666666666, win percentage = 0.0, 2022-04-26 07:22:53
Episode no = 620; won: False; Q(s,a) = 47.925922699439134; reward = -408.0; and epsilon = 0.9173333333333333, win percentage = 0.0, 2022-04-26 07:22:57
Episode no = 630; won: False; Q(s,a) = 48.82521730090602; reward = -264.0; and epsilon = 0.916, win percentage = 0.0, 2022-04-26 07:23:01
Episode no = 640; won: False; Q(s,a) = nan; reward = -482.0; and epsilon = 0.9146666666666666, win percentage = 0.0, 2022-04-26 07:23:05
Episode no = 650; won: False; Q(s,a) = 36.86510557773767; reward = -425.0; and epsilon = 0.9133333333333333, win percentage = 0.0, 2022-04-26 07:23:08
Episode no = 660; won: False; Q(s,a) = 40.36579099550641; reward = -476.0; and epsilon = 0.912, win percentage = 0.0, 2022-04-26 07:23:13
Episode no = 670; won: False; Q(s,a) = 49.70542540371626; reward = -455.0; and epsilon = 0.9106666666666666, win percentage = 0.0, 2022-04-26 07:23:17
Episode no = 680; won: False; Q(s,a) = 45.20011891781056; reward = -469.0; and epsilon = 0.9093333333333333, win percentage = 0.0, 2022-04-26 07:23:20
Episode no = 690; won: False; Q(s,a) = 46.389791920949676; reward = -403.0; and epsilon = 0.908, win percentage = 0.0, 2022-04-26 07:23:23
Episode no = 700; won: False; Q(s,a) = 48.358020495530575; reward = -477.0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2022-04-26 07:23:27
Episode no = 710; won: False; Q(s,a) = 46.55438068095097; reward = -435.0; and epsilon = 0.9053333333333333, win percentage = 0.0, 2022-04-26 07:23:30
Episode no = 720; won: False; Q(s,a) = 55.705167581975765; reward = -427.0; and epsilon = 0.904, win percentage = 0.0, 2022-04-26 07:23:35
Episode no = 730; won: False; Q(s,a) = 54.93802583433964; reward = -325.0; and epsilon = 0.9026666666666667, win percentage = 0.0, 2022-04-26 07:23:39
Episode no = 740; won: False; Q(s,a) = 52.84078574059038; reward = -446.0; and epsilon = 0.9013333333333333, win percentage = 0.0, 2022-04-26 07:23:43
Episode no = 750; won: False; Q(s,a) = 41.328220846847366; reward = -428.0; and epsilon = 0.9, win percentage = 0.0, 2022-04-26 07:23:49
Episode no = 760; won: False; Q(s,a) = nan; reward = -488.0; and epsilon = 0.8986666666666667, win percentage = 0.0, 2022-04-26 07:23:51
Episode no = 770; won: False; Q(s,a) = 53.687450303144004; reward = -420.0; and epsilon = 0.8973333333333333, win percentage = 0.0, 2022-04-26 07:23:55
Episode no = 780; won: False; Q(s,a) = nan; reward = -447.0; and epsilon = 0.896, win percentage = 0.0, 2022-04-26 07:23:59
Episode no = 790; won: False; Q(s,a) = 55.05233318045923; reward = -461.0; and epsilon = 0.8946666666666667, win percentage = 0.0, 2022-04-26 07:24:01
Episode no = 800; won: False; Q(s,a) = 51.02688680175519; reward = -459.0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2022-04-26 07:24:04
Episode no = 810; won: False; Q(s,a) = 59.75594926734888; reward = -445.0; and epsilon = 0.892, win percentage = 0.0, 2022-04-26 07:24:08
Episode no = 820; won: False; Q(s,a) = 52.61233357893835; reward = -429.0; and epsilon = 0.8906666666666667, win percentage = 0.0, 2022-04-26 07:24:12
